"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Work Item Management","Create USER_STORY returns 201 with status READY","0","0","1","0","0"
"","User Registration","Valid registration returns token, ADMIN role and tenantId","0","0","1","0","0"
"","Tenant Invites and Membership","USER cannot create invite","0","0","1","0","0"
"","Tenant Invites and Membership","New user accepts invite and becomes USER","0","0","1","0","0"
"","Project Management","Authenticated user creates a project","0","0","1","0","0"
"","Tenant Invites and Membership","Existing user accepts invite without new tenant","0","0","1","0","0"
"","Project Management","Unauthenticated access returns 403","0","0","1","0","0"
"","Tenant Invites and Membership","Admin cannot revoke the only admin","0","0","1","0","0"
"","Project Management","Cross-tenant project access returns 404","0","0","1","0","0"
"","User Login and Tenant Selection","Multi-tenant login returns tenant selection payload","0","0","1","0","0"
"","User Login and Tenant Selection","Single-tenant login returns token directly","0","0","1","0","0"
"","Work Item Management","Invalid hierarchy TASK parent of TASK returns 400","0","0","1","0","0"
"","Tenant Invites and Membership","Admin revokes USER member","0","0","1","0","0"
"","Project Management","List projects returns array for tenant","0","0","1","0","0"
"","Tenant Invites and Membership","Admin creates invite with token","0","0","1","0","0"
"","User Login and Tenant Selection","Select-tenant returns token for chosen tenant","0","0","1","0","0"
"","User Registration","Registration fails with invalid data","0","0","3","0","0"
"","Tenant Management","Creating a second tenant returns ADMIN role","0","0","1","0","0"
"","Tenant Invites and Membership","Admin cancels pending invite","0","0","1","0","0"
"","Work Item Management","Create TASK with USER_STORY parent","0","0","1","0","0"
"","User Login and Tenant Selection","Invalid credentials return 401","0","0","1","0","0"
"","Tenant Invites and Membership","Invalid invite token returns 410","0","0","1","0","0"
"","Work Item Management","Update work item status via PATCH","0","0","1","0","0"
"","Work Item Management","List work items returns 200","0","0","1","0","0"
"","Work Item Management","Cross-tenant work item access returns 404","0","0","1","0","0"
"","Work Item Management","Create FEATURE returns 201 with status BACKLOG","0","0","1","0","0"
"","Tenant Management","Duplicate tenant name returns 409","0","0","1","0","0"
"","User Registration","Duplicate email registration returns 409","0","0","1","0","0"
"","Work Item Management","Create TASK returns 201 with status NEW","0","0","1","0","0"
